t,v_bus_2,v_bus_7,v_bus_9,q_bus_2,q_bus_7,q_bus_9,F_paper_like
0,0.9931822890333468,0.9801819381032804,0.9768697371429708,-0.25,-0.25,-0.25,0.0014246229100011501
1,0.9924582103036956,0.9782422531554762,0.9746856199686904,-0.5,-0.5,-0.5,0.004335547987971617
2,0.9917271287568782,0.9762858226649918,0.9724834805801872,-0.75,-0.75,-0.75,0.009131480723131214
3,0.9909834738846336,0.9742962667748672,0.9702441387732617,-1.0,-1.0,-1.0,0.015813695461121394
4,0.9902324972412608,0.972289037783896,0.967985726845612,-1.25,-1.25,-1.25,0.024381607611344044
5,0.9894740928621986,0.9702638390076388,0.9657079192572962,-1.5,-1.5,-1.5,0.03483549039665068
6,0.9887081529108072,0.968220368505088,0.963410384995208,-1.75,-1.75,-1.75,0.0471756253574185
7,0.987934566689232,0.9661583161744896,0.9610927841980768,-2.0,-2.0,-2.0,0.061402302843289916
8,0.9871532184205192,0.964077357217961,0.9587547605251396,-2.25,-2.25,-2.25,0.07751582292036772
9,0.98636398578865,0.9619771472819576,0.9563959354099202,-2.5,-2.5,-2.5,0.09551649633058297
10,0.985566753120056,0.9598573633679316,0.9540159563950464,-2.75,-2.75,-2.75,0.11540464107876698
11,0.984761391025951,0.9577176409539592,0.9516144229330648,-3.0,-3.0,-3.0,0.13718058857903132
12,0.984236104090174,0.9565266560698792,0.9504161793039144,-3.25,-3.25,-3.0,0.152923493660772
13,0.9839965166105892,0.9562981582436716,0.9504360713827312,-3.5,-3.5,-2.75,0.162623772736734
14,0.9837561856788722,0.9560677363935544,0.9504538551612663,-3.75,-3.75,-2.5,0.17419936287883314
15,0.9835151093550356,0.9558353864038932,0.9504695276673554,-4.0,-4.0,-2.25,0.18765026620158234
16,0.9832732873074164,0.9556011089052264,0.9504830914948198,-4.25,-4.25,-2.0,0.2029764843379281
17,0.9830307186990924,0.9553649030336632,0.9504945474899024,-4.5,-4.5,-1.75,0.2201780191086466
18,0.982787401290462,0.9551267637848536,0.950503891656476,-4.75,-4.75,-1.5,0.2392548728119549
19,0.9825069184083614,0.9547790990512928,0.9503851742574884,-5.0,-5.0,-1.25,0.26021878435982215
20,0.9825004740556572,0.954760054238209,0.9503628782780552,-5.0,-5.0,-1.25,0.26022086497682284
21,0.982501410080202,0.9547628150960308,0.9503661089702672,-5.0,-5.0,-1.25,0.26022056334298427
22,0.9825023462599508,0.95476557641038,0.9503693401962175,-5.0,-5.0,-1.25,0.2602202616782253
23,0.982503282663925,0.9547683383848372,0.9503725721941316,-5.0,-5.0,-1.25,0.2602199599603169
24,0.9825042179806738,0.9547710971512112,0.9503758004375438,-5.0,-5.0,-1.25,0.2602196586117937
25,0.9825051543729396,0.9547738590886242,0.9503790323911516,-5.0,-5.0,-1.25,0.26021935693584436
26,0.9825060907593482,0.9547766210075046,0.950382264322594,-5.0,-5.0,-1.25,0.26021905528088596
27,0.9825070260585528,0.9547793797183676,0.9503854924996128,-5.0,-5.0,-1.25,0.26021875399523886
28,0.9825079626633264,0.9547821422788152,0.950388725180844,-5.0,-5.0,-1.25,0.26021845230813134
29,0.9825088990321696,0.954784904142118,0.9503919570458136,-5.0,-5.0,-1.25,0.26021815071612436
