t,v_bus_2,v_bus_7,v_bus_9,q_bus_2,q_bus_7,q_bus_9
0,0.9931822890333467,0.9801819381032804,0.9768697371429708,-0.25,-0.25,-0.25
1,0.9924582103036956,0.9782422531554762,0.9746856199686903,-0.5,-0.5,-0.5
2,0.9917271287568782,0.9762858226649918,0.9724834805801873,-0.75,-0.75,-0.75
3,0.9909834738846335,0.9742962667748671,0.9702441387732615,-1.0,-1.0,-1.0
4,0.9902324972412608,0.9722890377838961,0.9679857268456121,-1.25,-1.25,-1.25
5,0.9894740928621986,0.9702638390076388,0.9657079192572962,-1.5,-1.5,-1.5
6,0.9887081529108072,0.9682203685050881,0.963410384995208,-1.75,-1.75,-1.75
7,0.9879345666892319,0.9661583161744897,0.9610927841980768,-2.0,-2.0,-2.0
8,0.9871532184205192,0.964077357217961,0.9587547605251396,-2.25,-2.25,-2.25
9,0.9863639857886499,0.9619771472819575,0.9563959354099202,-2.5,-2.5,-2.5
10,0.9855667531200561,0.9598573633679316,0.9540159563950465,-2.75,-2.75,-2.75
11,0.984761391025951,0.9577176409539593,0.9516144229330649,-3.0,-3.0,-3.0
12,0.9842361040901741,0.9565266560698793,0.9504161793039145,-3.25,-3.25,-3.0
13,0.9839965166105891,0.9562981582436716,0.9504360713827313,-3.5,-3.5,-2.75
14,0.9837561856788722,0.9560677363935544,0.9504538551612665,-3.75,-3.75,-2.5
15,0.9835151093550356,0.9558353864038931,0.9504695276673554,-4.0,-4.0,-2.25
16,0.9832732873074165,0.9556011089052263,0.9504830914948198,-4.25,-4.25,-2.0
17,0.9830307186990925,0.9553649030336632,0.9504945474899023,-4.5,-4.5,-1.75
18,0.982787401290462,0.9551267637848536,0.9505038916564759,-4.75,-4.75,-1.5
19,0.9825069184083614,0.9547790990512929,0.9503851742574884,-5.0,-5.0,-1.25
20,0.9825004740556572,0.954760054238209,0.9503628782780551,-5.0,-5.0,-1.25
21,0.982501410080202,0.9547628150960309,0.9503661089702671,-5.0,-5.0,-1.25
22,0.9825023462599509,0.95476557641038,0.9503693401962175,-5.0,-5.0,-1.25
23,0.982503282663925,0.9547683383848371,0.9503725721941317,-5.0,-5.0,-1.25
24,0.9825042179806738,0.9547710971512113,0.9503758004375438,-5.0,-5.0,-1.25
25,0.9825051543729397,0.9547738590886242,0.9503790323911516,-5.0,-5.0,-1.25
26,0.9825060907593482,0.9547766210075046,0.9503822643225941,-5.0,-5.0,-1.25
27,0.9825070260585529,0.9547793797183675,0.9503854924996128,-5.0,-5.0,-1.25
28,0.9825079626633265,0.9547821422788153,0.9503887251808439,-5.0,-5.0,-1.25
29,0.9825088990321696,0.9547849041421181,0.9503919570458135,-5.0,-5.0,-1.25
30,0.9825098345438987,0.954787663476069,0.9503951859505186,-5.0,-5.0,-1.25
31,0.9825107704408975,0.9547904239451359,0.95039841618303,-5.0,-5.0,-1.25
32,0.9825117067921789,0.9547931857528736,0.9504016479815419,-5.0,-5.0,-1.25
33,0.9825126425164278,0.9547959457098978,0.9504048776139162,-5.0,-5.0,-1.25
34,0.9825410149129602,0.9548797669552811,0.950503000576155,-5.0,-5.0,-1.25
35,0.9825474636275675,0.9548988148040594,0.9505252973492074,-5.0,-5.0,-1.25
36,0.9825483991267275,0.9549015740500157,0.9505285261312926,-5.0,-5.0,-1.25
37,0.9825493350110581,0.9549043344307748,0.9505317562408092,-5.0,-5.0,-1.25
38,0.982550271119547,0.9549070954714315,0.9505349871220388,-5.0,-5.0,-1.25
39,0.9825512063711639,0.9549098539835015,0.9505382150439189,-5.0,-5.0,-1.25
40,0.982552142007947,0.9549126136303611,0.9505414442932152,-5.0,-5.0,-1.25
41,0.9825530785588955,0.9549153759722826,0.9505446766957065,-5.0,-5.0,-1.25
42,0.9825540135629786,0.9549181337504967,0.9505479037574185,-5.0,-5.0,-1.25
43,0.9825549494122238,0.9549208940202477,0.9505511337341669,-5.0,-5.0,-1.25
44,0.9825646941976054,0.9549496824412244,0.9505848338022261,-5.0,-5.0,-1.25
45,0.9825674059561379,0.9549576900438732,0.9505942066068023,-5.0,-5.0,-1.25
46,0.9825683414911592,0.9549604493691438,0.9505974354715289,-5.0,-5.0,-1.25
47,0.9825692777102704,0.954963210710857,0.9506006666953459,-5.0,-5.0,-1.25
48,0.9825702128426411,0.9549659688460195,0.9506038941664937,-5.0,-5.0,-1.25
49,0.9825711490500552,0.9549687301507248,0.9506071253460489,-5.0,-5.0,-1.25
50,0.9825720845616974,0.9549714894020267,0.950610354122307,-5.0,-5.0,-1.25
51,0.9825730196765445,0.9549742474817463,0.9506135815271438,-5.0,-5.0,-1.25
52,0.9825739558664153,0.9549770087309457,0.9506168126403128,-5.0,-5.0,-1.25
53,0.9825748915904963,0.9549797686050666,0.9506200421439367,-5.0,-5.0,-1.25
54,0.9825758264578519,0.9549825259510637,0.950623268688765,-5.0,-5.0,-1.25
55,0.9825767628601463,0.9549852878230343,0.9506265005292429,-5.0,-5.0,-1.25
56,0.9825776983367276,0.9549880469634076,0.9506297291728281,-5.0,-5.0,-1.25
57,0.9825786334165293,0.9549908049322471,0.9506329564450502,-5.0,-5.0,-1.25
58,0.9825795693413526,0.9549935653921804,0.9506361866317795,-5.0,-5.0,-1.25
59,0.982580505030368,0.9549963251553568,0.9506394160027117,-5.0,-5.0,-1.25
60,0.9825814403226081,0.9549990837470146,0.9506426440022989,-5.0,-5.0,-1.25
61,0.9825823759999365,0.955001843473215,0.9506458733290073,-5.0,-5.0,-1.25
62,0.9825833119013765,0.9550046038591665,0.9506491034272525,-5.0,-5.0,-1.25
63,0.9825842471760915,0.9550073623953772,0.9506523313605239,-5.0,-5.0,-1.25
64,0.9825943383501234,0.9550371708281749,0.950687224508561,-5.0,-5.0,-1.25
65,0.9825971088027565,0.9550453511288356,0.9506967992699462,-5.0,-5.0,-1.25
66,0.9825980437608564,0.9550481087129937,0.9507000260821393,-5.0,-5.0,-1.25
67,0.9825989795638699,0.9550508687879039,0.9507032558084307,-5.0,-5.0,-1.25
68,0.9825999155909687,0.9550536295224814,0.9507064863061595,-5.0,-5.0,-1.25
69,0.9826008503016236,0.9550563863730656,0.950709712258522,-5.0,-5.0,-1.25
70,0.982601786087107,0.9550591463925133,0.9507129419184798,-5.0,-5.0,-1.25
71,0.9826027218667456,0.955061906393469,0.9507161715563205,-5.0,-5.0,-1.25
72,0.9826036565598929,0.9550646631886616,0.9507193974424342,-5.0,-5.0,-1.25
73,0.9826045923278488,0.9550674231526554,0.9507226270360678,-5.0,-5.0,-1.25
74,0.9826055278600383,0.955070182420024,0.9507258558140625,-5.0,-5.0,-1.25
75,0.982606463225442,0.9550729411942205,0.9507290840144904,-5.0,-5.0,-1.25
76,0.9826073987459493,0.9550757004246296,0.9507323127482809,-5.0,-5.0,-1.25
77,0.9826083342606156,0.9550784596365577,0.9507355414599681,-5.0,-5.0,-1.25
78,0.9826092693785832,0.9550812176772088,0.9507387688005997,-5.0,-5.0,-1.25
79,0.9826102051114844,0.9550839775302952,0.9507419982615869,-5.0,-5.0,-1.25
80,0.9826111403787152,0.9550867360086795,0.9507452261134799,-5.0,-5.0,-1.25
81,0.9826120754791695,0.9550894939939226,0.9507484533878425,-5.0,-5.0,-1.25
82,0.9826130111945464,0.9550922537915649,0.9507516827825181,-5.0,-5.0,-1.25
83,0.9826139466741709,0.9550950128926269,0.9507549113616082,-5.0,-5.0,-1.25
84,0.9826148817571118,0.9550977708224605,0.9507581385697006,-5.0,-5.0,-1.25
85,0.982615817225058,0.955100529886574,0.9507613671046001,-5.0,-5.0,-1.25
86,0.9826167526871638,0.9551032889322104,0.9507645956174003,-5.0,-5.0,-1.25
87,0.9826176877525938,0.9551060468066427,0.9507678227592323,-5.0,-5.0,-1.25
88,0.9826186232030218,0.9551088058153328,0.9507710512278449,-5.0,-5.0,-1.25
89,0.9826195588775105,0.9551115654836124,0.9507742804678014,-5.0,-5.0,-1.25
90,0.9826204939254295,0.9551143233026421,0.9507775075433716,-5.0,-5.0,-1.25
91,0.9826214291284419,0.9551170815778516,0.9507807351522651,-5.0,-5.0,-1.25
92,0.9826223647854097,0.9551198411906987,0.950783964325924,-5.0,-5.0,-1.25
93,0.9826232998158198,0.9551225989543343,0.9507871913352421,-5.0,-5.0,-1.25
94,0.9826242352312138,0.9551253578521837,0.9507904196712881,-5.0,-5.0,-1.25
95,0.9826251706407688,0.9551281167315592,0.9507936479852391,-5.0,-5.0,-1.25
96,0.9826261058835616,0.9551308751178372,0.9507968757217129,-5.0,-5.0,-1.25
97,0.9826270412814394,0.9551336339602693,0.9508001039914791,-5.0,-5.0,-1.25
98,0.9826279769033661,0.9551363934622531,0.9508033330325448,-5.0,-5.0,-1.25
99,0.982628911438987,0.9551391497590606,0.9508065583225851,-5.0,-5.0,-1.25
100,0.9826298470492373,0.9551419092241031,0.9508097873194689,-5.0,-5.0,-1.25
101,0.9826307826536462,0.9551446686706652,0.9508130162942493,-5.0,-5.0,-1.25
102,0.9826317171717701,0.9551474249121159,0.9508162415180825,-5.0,-5.0,-1.25
103,0.9826326529943838,0.9551501849997408,0.9508194712420498,-5.0,-5.0,-1.25
104,0.982633588581275,0.9551529443908797,0.9508227001505439,-5.0,-5.0,-1.25
105,0.9826345233117788,0.9551557012549655,0.9508259261015237,-5.0,-5.0,-1.25
106,0.9826354584272418,0.9551584592531864,0.9508291533791371,-5.0,-5.0,-1.25
107,0.982636393996619,0.9551612185889148,0.9508323822213602,-5.0,-5.0,-1.25
108,0.9826373289394981,0.9551639760756209,0.9508356088994693,-5.0,-5.0,-1.25
109,0.9826382644971984,0.9551667353744059,0.950838837697508,-5.0,-5.0,-1.25
110,0.9826391998191879,0.9551694939767432,0.9508420656801198,-5.0,-5.0,-1.25
111,0.9826401347445632,0.9551722514080714,0.9508452922919961,-5.0,-5.0,-1.25
112,0.9826410700548809,0.9551750099734814,0.9508485202304428,-5.0,-5.0,-1.25
113,0.9826420055892274,0.9551777691983808,0.9508517489401143,-5.0,-5.0,-1.25
114,0.9826341368283862,0.9551545149313528,0.9508245250879673,-5.0,-5.0,-1.25
115,0.982633296691847,0.9551520276938505,0.9508216120528402,-5.0,-5.0,-1.25
116,0.9826342328729677,0.9551547888364726,0.9508248430104866,-5.0,-5.0,-1.25
117,0.9826351670942891,0.9551575441976757,0.9508280672025152,-5.0,-5.0,-1.25
118,0.9826361025741,0.9551603032693748,0.9508312957359113,-5.0,-5.0,-1.25
119,0.9826370385078191,0.9551630636785615,0.9508345258338933,-5.0,-5.0,-1.25
120,0.9826379729415233,0.9551658196624085,0.9508377507530787,-5.0,-5.0,-1.25
121,0.9826424324054283,0.9551789908142252,0.9508531681302034,-5.0,-5.0,-1.25
122,0.9826504222624078,0.9552025929171694,0.9508807964170641,-5.0,-5.0,-1.25
123,0.9826513566121071,0.9552053486356207,0.9508840210188937,-5.0,-5.0,-1.25
124,0.982652292450008,0.9552081087420382,0.9508872507548211,-5.0,-5.0,-1.25
125,0.9826532275925194,0.9552108667962634,0.9508904780888997,-5.0,-5.0,-1.25
126,0.9826541619247309,0.9552136224593885,0.9508937026245587,-5.0,-5.0,-1.25
127,0.9826550977451165,0.9552163825103925,0.9508969322942112,-5.0,-5.0,-1.25
128,0.9826560330999703,0.9552191411871342,0.9509001603552955,-5.0,-5.0,-1.25
129,0.9826569671848511,0.9552218961170478,0.9509033840315583,-5.0,-5.0,-1.25
130,0.982657903217564,0.955224656790521,0.9509066144281594,-5.0,-5.0,-1.25
131,0.9826625546469148,0.9552383929567116,0.9509226926222234,-5.0,-5.0,-1.25
132,0.9826711227106385,0.9552636990330321,0.9509523144101742,-5.0,-5.0,-1.25
133,0.9826720581947805,0.955266458069892,0.9509555428844911,-5.0,-5.0,-1.25
134,0.9826729934432668,0.9552692164104771,0.9509587705435883,-5.0,-5.0,-1.25
135,0.9826739278815589,0.9552719723602979,0.9509619954046674,-5.0,-5.0,-1.25
136,0.9826748631183807,0.9552747306639807,0.9509652230196293,-5.0,-5.0,-1.25
137,0.982675798579182,0.9552774896269974,0.9509684514056301,-5.0,-5.0,-1.25
138,0.9826767329999896,0.9552802455215016,0.9509716762005508,-5.0,-5.0,-1.25
139,0.9826776684491229,0.9552830044476044,0.950974904542403,-5.0,-5.0,-1.25
140,0.9826786034328001,0.9552857619996834,0.9509781312759716,-5.0,-5.0,-1.25
141,0.98268315046172,0.9552991904175164,0.9509938493894129,-5.0,-5.0,-1.25
142,0.982691452566778,0.9553237121846903,0.9510225534186768,-5.0,-5.0,-1.25
